,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,10000,Abbeyleix District Hospital,,Portlaoise,County Laois,,,,,,,,52.9125186,-7.3437598
1,10001,Aut Even Hospital,Freshford Road nan,Kilkenny,County Kilkenny,,,+353 56 777 5275,,,No,,52.6759357,-7.2719856
2,10002,Baggot Street Community Hospital,Baggot Street Upper nan,Dublin,County Dublin,,,,,,No,,53.3340261,-6.2434451
3,10003,Ballina District Hospital,,Ballina,County Mayo,,,,,,,,54.1155684,-9.1658476
4,10004,Ballinamore Community Nursing Unit & Primary Care Centre,nan Tully,Carrick-on-Shannon,County Leitrim,,,,,,,,54.0506213,-7.8032363
5,10005,Bandon Community Hospital,,Bandon,County Cork,,,+353 23 884 1403,,,,,51.7446378,-8.7253211
6,10006,Bantry General Hospital,,Bantry,County Cork,,,,,,,,51.6770362,-9.4492159
7,10007,Barretstown Gang Camp,,Naas,County Kildare,,,,,,No,,53.1538336,-6.5998605
8,10008,Beaumont Hospital,,Dublin,County Dublin,,,,,,Yes,,53.3923659,-6.222199
9,10009,Birr Community Hospital and Nursing Home,,Birr,County Offaly,,,,,,,,53.0971271,-7.9003438
10,10010,Blackrock Clinic,,Blackrock,County Dublin,,,,,,,,53.3049726,-6.1879273
11,10011,Bloomfield Health Services & Quaker House,Stocking Lane nan,Dublin,County Dublin,,,+353-1-4950021,,,No,,53.2729512,-6.3062087
12,10012,Bon Secours Hospital,Glasnevin Hill nan,Dublin,County Dublin,,,,,,No,,53.3764215,-6.2678802
13,10013,Bon Secours Hospital,,Tralee,County Kerry,,,,,,,,52.26918,-9.7128287
14,10014,Bon Secours Hospital,College Road nan,Cork,County Cork,,,+353 21 454 2807,,,,,51.8909605,-8.4984717
15,10015,Bon Secours Hospital Galway,,Gaillimh,County Galway,,,,,,,,53.2767467,-9.0201572
16,10016,Cappagh National Orthopaedic Hospital,,Dublin,County Dublin,,,,,,No,,53.3923766,-6.3249131
17,10017,Cavan General Hospital,Golf Links Road nan,Cavan,County Cavan,,,+353-49-4376000,,,Yes,,54.000921,-7.3746693
18,10018,Central Mental Hospital,Dundrum Road nan,Dublin,County Dublin,,,,,,No,,53.2994618,-6.2438793
19,10019,Central Remedial Clinic,,Dublin,County Dublin,,,+353-1-8542200,,,No,,53.3701396,-6.2016274
20,10020,Cherry Orchard Hospital,,Dublin,County Dublin,,,,,,,,53.3436337,-6.3723067
21,10021,Clonakilty Community Hospital,,Clonakilty,County Cork,,,,,,,,51.6315015,-8.8770657
22,10022,Clonmethan Health Centre,,Oldtown,County Dublin,,,,,,,,53.518519,-6.3169378
23,10023,Clonskeagh Hospital,Clonskeagh Road nan,Dublin,County Dublin,,,,,,,,53.316797,-6.2393273
24,10024,Cloonamahon Learning Disability Services,,,County Sligo,,,,,,,,54.1559377,-8.4880176
25,10025,Cluain Lir Care Centre,Longford Road nan,Mullingar,County Westmeath,,,,,,,,53.5366752,-7.3527681
26,10026,Connolly Hospital,Navan Road nan,Dublin,County Dublin,,,+353-1-6465000,,,Yes,,53.3867253,-6.3689484
27,10027,Coombe Women & Infants University Hospital,Cork Street nan,Dublin,County Dublin,,,+353 1 408 5200,,,maternity,,53.3355303,-6.289229
28,10028,Cork University Hospital,Bishopstown Road nan,Cork,County Cork,,,,,,Yes,,51.8854888,-8.5075272
29,10029,Donegal District Hospital,,Donegal,County Donegal,,,,,,,,54.6560999,-8.0982437
30,10030,Dublin Dental University Hospital,Lincoln Place nan,Dublin,County Dublin,D02,,+353-1-6127391,,,dental only,,53.3420051,-6.2522252
31,10031,Ely Hospital,,Wexford,County Wexford,,,,,,,,52.3448519,-6.4547554
32,10032,Ennis Hospital,,Ennis,County Clare,,,,,,,,52.8506072,-8.9846649
33,10033,Fairview Community Unit (Mater Hospital),,Dublin,County Dublin,,,,,,,,53.3684454,-6.2437129
34,10034,Falcarragh Medical Centre,,Letterkenny,County Donegal,,,,,,No,,55.1369737,-8.1004214
35,10035,Fermoy Community Hospital,,Fermoy,County Cork,,,,,,,,52.1371766,-8.2582157
36,10036,Galway Clinic,,Galway,County Galway,,,,,,,,53.2831508,-8.9742758
37,10037,Gheel Autism Services,,Dublin,County Dublin,,,,,,,,53.3681588,-6.2422495
38,10038,Gorey District Hospital,,Gorey,County Wexford,,,,,,,,52.6741591,-6.300593
39,10039,Hermitage Medical Clinic,,Lucan,County Dublin,K78,,,,,,,53.3590732,-6.4095432
40,10040,Highfield Healthcare,Swords Road nan,Dublin,County Dublin,,,,,,,,53.3784425,-6.2473548
41,10041,Hospital Grounds New Ross,Hospital Road nan,New Ross,County Wexford,,,,,,No,,52.3888629,-6.9409868
42,10042,Incorporated Orthopaedic Hospital of Ireland,Blackheath Park nan,Dublin,County Dublin,,,+353-1-8332521,,,No,,53.3666636,-6.2025272
43,10043,Irish Wheelchair Association and Respite Centre,,Dublin,County Dublin,,,,,,,,53.3685328,-6.2007396
44,10044,Kanturk Community Hospital,,Mallow,County Cork,,,,,,,,52.1753847,-8.9165506
45,10045,Kenmare Public Hospital,,Killarney,County Kerry,,,,,,,,51.8894033,-9.5825884
46,10046,Kilcreene Hospital,,,County Kilkenny,,,,,,No,,52.6514167,-7.2764397
47,10047,Killarney Community Hospital,,Killarney,County Kerry,,,,,,,,52.0653143,-9.5168748
48,10048,Kilrock House,Kilrock Road nan,Howth,County Dublin,,,,,,No,,53.385786,-6.0602629
49,10049,Kinsale Community Hospital,,Kinsale,County Cork,,,+353 21 4772 202,,,No,,51.7123349,-8.5276754
50,10050,Leopardstown Park Hospital,,Dublin,County Dublin,,,,,,No,,53.269656,-6.2032602
51,10051,Lucena Clinic & St Peter's School,Orwell Road 59,Dublin,County Dublin,,,+353-1-4923596,,,No,,53.3102029,-6.2735209
52,10052,Macroom Community Hospital,,Macroom,County Cork,,,,,,,,51.9074717,-8.9681484
53,10053,Mallow General Hospital,,Mallow,County Cork,,,,,,,,52.1512763,-8.6618732
