,id,name,address,city,state,zip,county,phone,CMS Region,ownership,startdate,beds,LAT,LON
0,012007,"NOLAND HOSPITAL MONTGOMERY II, LLC",1725 PINE STREET 5TH FLOOR NORTH WING,MONTGOMERY,AL,36106,Montgomery,(334) 240-0532,4,Government,02/25/1999 12:00:00 AM,60,32.378646999999994,-86.297411
1,072003,GAYLORD HOSPITAL INC,GAYLORD FARM RD,WALLINGFORD,CT,06492,New Haven,(203) 284-2800,1,Non-profit,07/01/1966 12:00:00 AM,137,41.458657,-72.804516
2,082000,SELECT SPECIALTY HOSPITAL WILMINGTON,7TH  &  CLAYTON STREETS  5TH FLOOR,WILMINGTON,DE,19805,New Castle,(302) 421-4591,3,For profit,08/01/1999 12:00:00 AM,35,39.685822,-75.585224
3,102024,SELECT SPECIALTY HOSPITAL PENSACOLA,7000 COBBLE CREEK DR,PENSACOLA,FL,32504,Escambia,(850) 479-5938,4,For profit,10/01/2008 12:00:00 AM,54,30.426725,-87.268114
4,112012,COLUMBUS SPECIALTY HOSPITAL,616 19TH STREEET,COLUMBUS,GA,31901,Muscogee,(706) 494-4075,4,Non-profit,01/01/2004 12:00:00 AM,30,32.510197,-84.874946
5,152025,CENTRAL INDIANA  AMG SPECIALTY HOSPITAL LLC,2401 W UNIVERSITY AVE 5TH FLOOR EAST TOWER,MUNCIE,IN,47303,Delaware,(765) 751-5253,5,For profit,02/16/2005 12:00:00 AM,32,40.198978,-85.393346
6,162002,CONTINUING CARE HOSPITAL,1026 A AVENUE NORTHEAST SIXTH FLOOR,CEDAR RAPIDS,IA,52402,Linn,(319) 369-8142,7,Non-profit,10/29/2008 12:00:00 AM,24,41.967048,-91.67776
7,172007,SELECT SPECIALTY HOSPITAL WICHITA,"929 NORTH ST FRANCIS, 6TH FLOOR, NORTH TOWER",WICHITA,KS,67214,Sedgwick,(316) 962-3930,7,For profit,01/01/2001 12:00:00 AM,35,37.690694,-97.342678
8,182002,CONTINUING CARE HOSP AT ST JOSEPH EAST,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,Fayette,(859) 268-4800,4,Non-profit,02/27/2002 12:00:00 AM,57,38.040157,-84.458443
9,182004,SELECT SPECIALTY HOSPITAL-NORTHERN KENTUCKY,85 NORTH GRAND AVENUE THREE CENTER 3RD FLR CENTER,FORT THOMAS,KY,41075,Campbell,(859) 572-3880,4,Non-profit,09/01/2004 12:00:00 AM,33,39.081974,-84.453172
10,182005,COMMONWEALTH REGIONAL SPECIALTY HOSPITAL,250 PARK DRIVE 5TH FLOOR,BOWLING GREEN,KY,42101,Warren,(270) 796-6200,4,Non-profit,02/01/2005 12:00:00 AM,28,36.970919,-86.438462
11,182006,CONTINUECARE HOSPITAL AT BAPTIST HEALTH CORBIN,"ONE TRILLIUM WAY, LOWER LEVEL",CORBIN,KY,40701,Knox,(606) 523-5150,4,Non-profit,03/01/2005 12:00:00 AM,32,36.965634,-84.095575
12,192015,OCHSNER EXTENDED CARE HOSPITAL OF KENNER,"180 WEST ESPLANADE, FIFTH FLOOR",KENNER,LA,70065,Jefferson,(504) 464-8590,6,For profit,08/01/1995 12:00:00 AM,32,30.010227,-90.25482
13,192029,LAFAYETTE - A M G SPECIALTY HOSPITAL,"4811 AMBASSADOR CAFFERY PKWY, 4TH FLOOR",LAFAYETTE,LA,70506,Lafayette,(337) 456-8201,6,For profit,01/01/2001 12:00:00 AM,46,30.211573,-92.031394
14,192055,LOUISIANA EXTENDED CARE HOSPITAL OF WEST MONROE,"503 MCMILLIAN ROAD, 3RD FLOOR",WEST MONROE,LA,71291,Ouachita,(318) 329-4300,6,For profit,07/25/2005 12:00:00 AM,21,32.51234,-92.15107
15,232012,SELECT SPECIALTY HOSPITAL-FLINT,"401 S BALLENGER, 5TH FLOOR",FLINT,MI,48532,Genesee,(810) 342-4550,5,For profit,02/01/1998 12:00:00 AM,36,43.024425,-83.691983
16,232019,VIBRA OF SOUTHEASTERN MICHIGAN,26400 W OUTER DRIVE,LINCOLN PARK,MI,48146,Wayne,(313) 594-6000,5,For profit,07/01/1991 12:00:00 AM,220,42.243291,-83.181258
17,232021,SELECT SPECIALTY HOSPITAL - MUSKEGON,"1700 CLINTON STREET, 2 SOUTH AND 3 SOUTH FLOORS",MUSKEGON,MI,49442,Muskegon,(231) 728-5800,5,For profit,07/01/1997 12:00:00 AM,31,43.22654,-86.25724699999998
18,232026,SELECT SPECIALTY HOSPITAL - GRAND RAPIDS,"200 SE JEFFERSON, 5TH FLOOR",GRAND RAPIDS,MI,49503,Kent,(231) 672-6202,5,For profit,01/01/2000 12:00:00 AM,20,42.946808,-85.60849
19,232033,SELECT SPECIALTY HOSPITAL-SAGINAW,"1447 NORTH HARRISON, 7TH  &  8TH FLOOR",SAGINAW,MI,48602,Saginaw,(989) 583-4667,5,For profit,03/01/2003 12:00:00 AM,32,43.417678,-83.954716
20,262015,"LANDMARK HOSPITAL OF CAPE GIRARDEAU, LLC",3255 INDEPENDENCE,CAPE GIRARDEAU,MO,63703,Cape Girardeau,(573) 335-1091,7,For profit,10/01/2006 12:00:00 AM,30,37.308664,-89.559239
21,262020,"LANDMARK HOSPITAL OF COLUMBIA, LLC",604 OLD HIGHWAY 63 NORTH,COLUMBIA,MO,65201,Boone,(573) 499-6600,7,For profit,04/01/2010 12:00:00 AM,42,38.947939,-92.326097
22,292007,LAS VEGAS-AMG SPECIALTY HOSPITAL,4015 SOUTH MCLEOD,LAS VEGAS,NV,89121,Clark,(702) 433-2200,9,For profit,01/01/2004 12:00:00 AM,24,36.227712,-115.264045
23,332006,CALVARY HOSPITAL INC,1740 - 70 EASTCHESTER R0AD,BRONX,NY,10461,Bronx,(718) 863-6900,2,Non-profit,07/01/1966 12:00:00 AM,225,40.848711,-73.852939
24,332014,SUMMIT PARK HOSPITAL - ROCKLAND COUNTY INFIRMARY,SANATORIUM ROAD,POMONA,NY,10970,Rockland,(914) 364-2700,2,Government,07/01/1966 12:00:00 AM,108,41.189138,-74.054249
25,362031,SELECT SPECIALTY HOSPITAL SOUTHEAST OHIO,"200 TAMARACK ROAD, 2ND FLOOR",NEWARK,OH,43055,Licking,(740) 588-7888,5,For profit,04/01/2004 12:00:00 AM,35,40.069732,-82.424925
26,372007,"SELECT SPECIALTY HOSPITAL - TULSA/MIDTOWN, LLC","1125 SOUTH TRENTON, 2ND  &  3RD FLOOR",TULSA,OK,74120,Tulsa,(918) 579-7301,6,For profit,09/01/1994 12:00:00 AM,56,36.127949,-95.902316
27,392036,SELECT SPECIALTY HOSPITAL LAUREL HIGHLANDS INC,ONE MELLON WAY,LATROBE,PA,15650,Westmoreland,(724) 830-8649,3,For profit,04/01/2001 12:00:00 AM,40,40.312434,-79.38259599999998
28,422009,REGENCY HOSPITAL OF GREENVILLE,"1 ST FRANCIS DRIVE, 4TH FLOOR",GREENVILLE,SC,29601,Greenville,(864) 255-1401,4,For profit,08/01/2005 12:00:00 AM,32,34.845538,-82.364909
29,442016,SELECT SPECIALTY HOSPITAL-TRICITIES,"ONE MEDICAL PARK BOULEVARD, 5TH FLOOR",BRISTOL,TN,37620,Sullivan,(423) 844-5900,4,For profit,11/01/2000 12:00:00 AM,33,36.558788,-82.216961
30,452018,TEXAS HEALTH SPECIALTY HOSPITAL FORT WORTH,1300 PENNSYLVANIA 4TH FLOOR MAIN BLDG,FORT WORTH,TX,76104,Tarrant,(817) 878-5500,6,Non-profit,04/03/1990 12:00:00 AM,15,32.779542,-97.346335
31,452031,MEMORIAL SPECIALTY HOSPITAL,1201 FRANK ST SUITE D,LUFKIN,TX,75901,Angelina,(936) 639-7975,6,Non-profit,01/01/1994 12:00:00 AM,26,31.320334000000006,-94.730616
