Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,POSTCODE,LAT,LON,ENCOUNTERS,PROCEDURES
92c9a51d-5eb9-3d7e-8afc-65e30df34fa4,a83dab77-0273-32cd-a600-7fcbe35de8ab,Margaret Barber,F,GENERAL PRACTICE,CONCORD MEDICAL CENTRE,BRISTOL,SW,BS34 6BQ,51.529421,-2.5548758,103,0
bb43580c-7dc3-31ad-981c-b695cd96109a,721d1bb5-85fb-3a3f-8137-a0238eb48d5b,Christopher Begum,M,GENERAL PRACTICE,THE CREST FAMILY PRACTICE,BRISTOL,SW,BS4 1WH,51.428755,-2.5962602,68,0
83a11358-1ac1-36d3-91a4-8643d5756557,7de70634-01e1-3d70-ada5-d9c1cf5ad1d2,Pauline Baxter,F,GENERAL PRACTICE,102 PRESTON ROAD,WEYMOUTH,SW,DT3 6BB,50.64294,-2.4304318,9,0
67bb0529-1a1b-39c0-a416-11c614dcd63a,339de48a-5ce3-3c92-993b-a4d046998bb3,Teresa Hussain,F,GENERAL PRACTICE,ABBY RISE,EXETER,SW,PL19 9FD,50.5458,-4.1459048,35,0
985951b5-f77e-34dd-a2ce-62caeb82221a,c70024ea-705e-3d79-ada8-0b8fa075c9e4,George Watts,M,GENERAL PRACTICE,ENOS WAY,FROME,SW,BA11 2FH,51.237156,-2.3112808,6,0
57e4726c-d647-3932-b0d3-6412a1d3ab3f,b7d8f0e1-f16d-3a3d-b0df-a9c3866ff6db,Kelly Miah,F,GENERAL PRACTICE,BURLEIGH LANE,STROUD,SW,GL5 2PQ,51.711819,-2.1947493,3,0
5a9e05af-c0f2-3ba8-b13a-306bba26d02b,bdeb5bfc-e9bd-3559-97dc-317e4f4b0f26,Hazel Morley,F,GENERAL PRACTICE,THE CULVERHAY SURGERY,GLOUCESTER,SW,GL12 7LS,51.638957,-2.3486778,33,0
880e0f56-a4dd-3b36-bdd0-9e4f84055d3e,33641218-3539-328d-b3d4-a54ad608edcd,Denis Hassan,M,GENERAL PRACTICE,TOMMY TAYLORS LANE,CHELTENHAM,SW,GL50 4RN,51.910951,-2.0796177,1,0
0b70ff5d-a32f-3fe7-b1f4-ed3bdf20abfc,92e72726-5cc0-37af-8268-221df1e8ef58,Diana Bell,F,GENERAL PRACTICE,BRADLEY STOKE SURGERY,EASTVILLE,SW,BS32 9DS,51.540212,-2.5604431,131,0
36976e91-20fa-30b8-bac1-1c1b123e58cf,e864ebce-dadf-30a4-9d46-7e66e5a4d2dc,Derek Thorpe,M,GENERAL PRACTICE,HIGHBRIDGE MEDICAL CENTRE,WILLITON  TAUNTON,SW,TA9 3YA,51.22734,-2.9792212,94,0
34a452ee-a91a-3e96-a7d3-b3dfb95683e0,79739201-bed0-3158-8e2d-257c95a33253,Caroline Hodgson,F,GENERAL PRACTICE,FRIARY HOUSE SURGERY,PLYMOUTH,SW,PL4 9BH,50.372653,-4.1281936,60,0
