Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,POSTCODE,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
e3dd4d71-3525-d858-852b-7a07d9bf91a3,1985-12-06,,999-79-9979,S99965619,X13780645X,Mr.,Hugh,George,Cunningham,,,W,white,nonmixed,M,Redruth  South West  England,178 Wright Boulevard Suite 14,Peasedown St John,South West,Somerset,,BA2,51.386679561058294,-2.401592732652734,106379
73482829-b779-bc67-1821-20fa16035c82,1999-01-10,,999-22-9636,S99943199,X35231782X,Ms.,Lauren,Ruth,Lambert,,,,white,mixed,F,Gloucester  South West  England,990 Riley Overpass,Bristol,South West,Bristol,,BS1,51.41591545882279,-2.560189257795879,69503
0a282a99-7496-f4c9-509d-5a24a5f671f0,1994-06-16,,999-30-9928,S99993339,X65708923X,Mrs.,Helen,Pauline,Owen,,Parsons,M,white,nonmixed,F,Cullompton  South West  England,890 Arnold Corner,Bristol,South West,Bristol,,BS1,51.429510746491154,-2.6176374433960317,19589
f6f4ed16-41b9-b88f-0efb-9a675af422d1,1975-05-08,,999-57-6332,S99990995,X50989415X,Mr.,John,Rodney,Marsh,,,M,white,nonmixed,M,Christchurch  South West  England,294 Stevens Arcade,Barnstaple,South West,Devon,,EX31,51.09076143535612,-4.067191360062476,139604
6dc5fc63-ae59-fa0e-02e4-fc739f382d61,1999-09-01,,999-82-6511,S99929344,X81877122X,Ms.,Helen,Marian,Armstrong,,,,white,nonmixed,F,Bristol  South West  England,280 Carter Haven,Torquay,South West,Cornwall,,TQ1,50.44577524958343,-3.501977038228358,27842
9cc1d975-b79a-bb0b-cded-8d041f0dbe32,1987-08-12,,999-29-5852,S99946903,X80855136X,Mr.,Roland,,Ahmed,,,M,white,nonmixed,M,Plymouth  South West  England,726 Shaw Way,Chard,South West,Somerset,,TA20,50.90763552136785,-2.9289899851356083,199452
7bcbb3a0-470d-9490-157f-9305accaf888,1967-04-07,,999-95-4543,S99952458,X16168727X,Ms.,Carol,Julie,Payne,JD,,S,white,nonmixed,F,Cullompton  South West  England,1027 Foster Divide,Poole,South West,Dorset,,BH15,50.72522477682113,-1.9464880187229048,34408
15990a52-1f48-2070-dc93-79950c060ed9,1949-05-23,,999-81-6383,S99938102,X31129694X,Mrs.,Lesley,,Bishop,,Barber,M,white,nonmixed,F,Midsomer Norton  South West  England,580 Thomas Ferry,Wareham,South West,Dorset,,BH20,50.703353858089294,-2.17917856402206,3179
788fec0d-501b-e266-1f5c-4441af0495ab,1944-08-16,,999-76-8274,S99917943,X56572247X,Mrs.,Stephanie,Ann,Khan,,Greenwood,M,white,nonmixed,F,Plymouth  South West  England,230 Davis Road,Sherborne,South West,Dorset,,DT9,50.991532428194944,-2.4891293038888653,33573
618ca528-d121-d9d5-f0a1-0eadc596b095,1965-12-21,,999-36-1406,S99983084,X50624190X,Mrs.,Maria,Ethel,Edwards,,Henry,M,black,nonmixed,F,Burnham-on-Sea  South West  England,583 Barnes Green,Salisbury,South West,Wiltshire,,SP1,51.049768672056274,-1.7477780468465336,41325
